minuto;2,6min;2,10min;2,15min;2,20min;2,25min;2,30min;2,1h;2,2h;2,3h;2,4h;2,6h;2,8h;2,10h;2,12h;2,18h;2,24h;5,6min;5,10min;5,15min;5,20min;5,25min;5,30min;5,1h;5,2h;5,3h;5,4h;5,6h;5,8h;5,10h;5,12h;5,18h;5,24h;10,6min;10,10min;10,15min;10,20min;10,25min;10,30min;10,1h;10,2h;10,3h;10,4h;10,6h;10,8h;10,10h;10,12h;10,18h;10,24h;20,6min;20,10min;20,15min;20,20min;20,25min;20,30min;20,1h;20,2h;20,3h;20,4h;20,6h;20,8h;20,10h;20,12h;20,18h;20,24h;25,6min;25,10min;25,15min;25,20min;25,25min;25,30min;25,1h;25,2h;25,3h;25,4h;25,6h;25,8h;25,10h;25,12h;25,18h;25,24h;50,6min;50,10min;50,15min;50,20min;50,25min;50,30min;50,1h;50,2h;50,3h;50,4h;50,6h;50,8h;50,10h;50,12h;50,18h;50,24h;100,6min;100,10min;100,15min;100,20min;100,25min;100,30min;100,1h;100,2h;100,3h;100,4h;100,6h;100,8h;100,10h;100,12h;100,18h;100,24h;200,6min;200,10min;200,15min;200,20min;200,25min;200,30min;200,1h;200,2h;200,3h;200,4h;200,6h;200,8h;200,10h;200,12h;200,18h;200,24h;500,6min;500,10min;500,15min;500,20min;500,25min;500,30min;500,1h;500,2h;500,3h;500,4h;500,6h;500,8h;500,10h;500,12h;500,18h;500,24h;1000,6min;1000,10min;1000,15min;1000,20min;1000,25min;1000,30min;1000,1h;1000,2h;1000,3h;1000,4h;1000,6h;1000,8h;1000,10h;1000,12h;1000,18h;1000,24h;10000,6min;10000,10min;10000,15min;10000,20min;10000,25min;10000,30min;10000,1h;10000,2h;10000,3h;10000,4h;10000,6h;10000,8h;10000,10h;10000,12h;10000,18h;10000,24h
141;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.099;0.0871;0.1337;0.2131;0.1205;0.0915;0.0434;0.0335;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1256;0.1105;0.1699;0.271;0.1533;0.1164;0.0552;0.0427;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1427;0.1257;0.1935;0.3088;0.1748;0.1328;0.063;0.0488;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1591;0.1403;0.2161;0.3451;0.1954;0.1485;0.0705;0.0546;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1642;0.1448;0.2232;0.3565;0.2019;0.1534;0.0729;0.0564;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18;0.1589;0.2451;0.3918;0.222;0.1687;0.0802;0.0621;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1927;0.1708;0.2646;0.4241;0.2407;0.1833;0.0873;0.0678;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2105;0.1862;0.2879;0.4609;0.2614;0.1989;0.0947;0.0734;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2304;0.2041;0.316;0.5063;0.2873;0.2187;0.1042;0.0808;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2458;0.2178;0.3375;0.5409;0.307;0.2337;0.1114;0.0864;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2944;0.2617;0.4069;0.6535;0.3715;0.2831;0.1352;0.1051
142;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0985;0.0865;0.1321;0.2166;0.1215;0.0918;0.0434;0.0335;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.1098;0.1678;0.2753;0.1545;0.1168;0.0552;0.0427;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.142;0.1249;0.1912;0.3138;0.1762;0.1332;0.0631;0.0488;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1583;0.1393;0.2135;0.3507;0.197;0.149;0.0706;0.0546;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1634;0.1438;0.2205;0.3622;0.2035;0.154;0.0729;0.0565;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1791;0.1578;0.2422;0.3981;0.2237;0.1693;0.0802;0.0622;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1918;0.1696;0.2614;0.4309;0.2426;0.1839;0.0874;0.0678;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2095;0.1849;0.2845;0.4683;0.2635;0.1996;0.0947;0.0734;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2293;0.2026;0.3122;0.5144;0.2896;0.2194;0.1043;0.0809;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2446;0.2163;0.3334;0.5496;0.3095;0.2345;0.1115;0.0865;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2929;0.2598;0.402;0.664;0.3744;0.2841;0.1353;0.1051
143;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0982;0.086;0.1305;0.22;0.1225;0.0921;0.0434;0.0336;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1245;0.1091;0.1658;0.2797;0.1558;0.1172;0.0553;0.0427;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1415;0.1241;0.1889;0.3188;0.1776;0.1337;0.0631;0.0488;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1578;0.1385;0.2109;0.3563;0.1986;0.1495;0.0706;0.0546;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1628;0.1429;0.2178;0.368;0.2051;0.1545;0.073;0.0565;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1785;0.1568;0.2392;0.4044;0.2255;0.1699;0.0803;0.0622;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1911;0.1686;0.2583;0.4378;0.2446;0.1845;0.0874;0.0678;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2088;0.1838;0.2811;0.4758;0.2656;0.2002;0.0948;0.0735;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2285;0.2015;0.3085;0.5227;0.2919;0.2202;0.1043;0.0809;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2437;0.215;0.3294;0.5584;0.312;0.2353;0.1115;0.0865;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2919;0.2583;0.3972;0.6746;0.3775;0.285;0.1354;0.1052
144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.098;0.0856;0.1289;0.2235;0.1235;0.0924;0.0434;0.0336;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1243;0.1086;0.1638;0.2842;0.1571;0.1176;0.0553;0.0427;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1412;0.1236;0.1866;0.3239;0.1791;0.1341;0.0631;0.0488;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1574;0.1379;0.2084;0.3619;0.2002;0.15;0.0706;0.0547;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1624;0.1423;0.2152;0.3739;0.2069;0.155;0.073;0.0565;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1781;0.1561;0.2364;0.4108;0.2274;0.1705;0.0803;0.0622;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1907;0.1678;0.2552;0.4448;0.2466;0.1851;0.0875;0.0679;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2083;0.183;0.2777;0.4834;0.2678;0.2009;0.0948;0.0735;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.228;0.2005;0.3047;0.531;0.2944;0.2209;0.1044;0.0809;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2432;0.214;0.3254;0.5672;0.3146;0.2361;0.1116;0.0865;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2913;0.2571;0.3924;0.6853;0.3806;0.286;0.1355;0.1052
145;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0978;0.0853;0.1274;0.227;0.1245;0.0928;0.0435;0.0336;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1241;0.1082;0.1619;0.2886;0.1584;0.118;0.0553;0.0428;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.141;0.1231;0.1843;0.329;0.1806;0.1346;0.0632;0.0488;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1572;0.1374;0.2059;0.3676;0.2019;0.1505;0.0707;0.0547;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1622;0.1418;0.2126;0.3797;0.2086;0.1556;0.0731;0.0565;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1778;0.1556;0.2335;0.4173;0.2294;0.1711;0.0804;0.0622;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1904;0.1672;0.2521;0.4517;0.2488;0.1858;0.0875;0.0679;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.208;0.1824;0.2743;0.491;0.2701;0.2016;0.0949;0.0735;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2276;0.1999;0.3011;0.5393;0.2969;0.2217;0.1044;0.0809;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2428;0.2133;0.3215;0.5761;0.3173;0.237;0.1117;0.0866;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2908;0.2562;0.3876;0.6961;0.3839;0.287;0.1355;0.1052
146;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0977;0.0851;0.1259;0.2306;0.1256;0.0931;0.0435;0.0336;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1239;0.108;0.1599;0.2931;0.1598;0.1184;0.0554;0.0428;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1408;0.1229;0.1821;0.3341;0.1822;0.1351;0.0632;0.0489;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.157;0.1371;0.2034;0.3733;0.2037;0.1511;0.0707;0.0547;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.162;0.1415;0.2101;0.3856;0.2105;0.1561;0.0731;0.0565;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1776;0.1553;0.2307;0.4238;0.2314;0.1717;0.0804;0.0622;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1902;0.1669;0.2491;0.4588;0.251;0.1865;0.0876;0.0679;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2077;0.182;0.271;0.4986;0.2725;0.2024;0.0949;0.0735;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2274;0.1994;0.2975;0.5477;0.2995;0.2225;0.1045;0.081;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2425;0.2128;0.3177;0.5851;0.3201;0.2378;0.1117;0.0866;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2905;0.2557;0.383;0.7069;0.3873;0.2881;0.1356;0.1053
147;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0976;0.085;0.1243;0.2341;0.1268;0.0934;0.0435;0.0336;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1238;0.1079;0.158;0.2976;0.1613;0.1189;0.0554;0.0428;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1407;0.1228;0.1799;0.3392;0.1839;0.1356;0.0632;0.0489;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1568;0.137;0.201;0.3791;0.2056;0.1516;0.0708;0.0547;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1618;0.1414;0.2075;0.3916;0.2124;0.1567;0.0731;0.0566;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1774;0.1551;0.2279;0.4303;0.2335;0.1723;0.0805;0.0623;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1899;0.1667;0.2461;0.4658;0.2532;0.1872;0.0876;0.0679;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2074;0.1818;0.2678;0.5063;0.275;0.2031;0.095;0.0736;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2271;0.1993;0.2939;0.5561;0.3023;0.2233;0.1045;0.081;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2422;0.2127;0.3138;0.5941;0.323;0.2387;0.1118;0.0866;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2901;0.2555;0.3784;0.7178;0.3908;0.2891;0.1357;0.1053
148;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0974;0.085;0.1229;0.2377;0.128;0.0938;0.0435;0.0336;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1235;0.108;0.1561;0.3021;0.1628;0.1193;0.0554;0.0428;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1403;0.1228;0.1778;0.3444;0.1856;0.1361;0.0633;0.0489;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1565;0.137;0.1986;0.3848;0.2075;0.1522;0.0708;0.0547;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1614;0.1414;0.205;0.3975;0.2144;0.1573;0.0732;0.0566;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.177;0.1552;0.2252;0.4368;0.2357;0.173;0.0805;0.0623;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1895;0.1668;0.2431;0.4729;0.2556;0.1879;0.0877;0.068;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.207;0.1819;0.2646;0.5139;0.2776;0.2039;0.095;0.0736;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2266;0.1993;0.2903;0.5645;0.3051;0.2242;0.1046;0.081;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2417;0.2127;0.3101;0.6031;0.326;0.2396;0.1118;0.0867;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2895;0.2555;0.3738;0.7287;0.3944;0.2902;0.1358;0.1053
149;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.097;0.0852;0.1214;0.2412;0.1292;0.0941;0.0436;0.0336;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1231;0.1081;0.1542;0.3066;0.1643;0.1198;0.0554;0.0428;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1398;0.123;0.1756;0.3495;0.1874;0.1366;0.0633;0.0489;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1559;0.1372;0.1962;0.3906;0.2095;0.1528;0.0708;0.0548;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1608;0.1416;0.2026;0.4034;0.2164;0.1579;0.0732;0.0566;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1763;0.1554;0.2225;0.4434;0.2379;0.1736;0.0806;0.0623;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1888;0.167;0.2402;0.4799;0.2581;0.1886;0.0877;0.068;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2062;0.1821;0.2614;0.5216;0.2802;0.2046;0.0951;0.0736;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2257;0.1996;0.2869;0.573;0.308;0.225;0.1047;0.0811;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2408;0.213;0.3064;0.6121;0.3291;0.2405;0.1119;0.0867;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2884;0.2559;0.3694;0.7395;0.3982;0.2913;0.1358;0.1054
150;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0965;0.0854;0.1199;0.2447;0.1305;0.0945;0.0436;0.0336;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1223;0.1083;0.1524;0.3111;0.1659;0.1202;0.0555;0.0428;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.139;0.1233;0.1736;0.3546;0.1892;0.1372;0.0633;0.0489;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.155;0.1375;0.1938;0.3963;0.2115;0.1534;0.0709;0.0548;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1599;0.1419;0.2002;0.4094;0.2186;0.1585;0.0733;0.0566;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1753;0.1557;0.2198;0.4499;0.2403;0.1743;0.0806;0.0623;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1877;0.1674;0.2373;0.487;0.2606;0.1893;0.0878;0.068;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.205;0.1825;0.2583;0.5293;0.283;0.2054;0.0951;0.0736;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2244;0.2;0.2834;0.5814;0.311;0.2259;0.1047;0.0811;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2394;0.2135;0.3027;0.6211;0.3323;0.2414;0.112;0.0867;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2867;0.2565;0.3649;0.7504;0.4021;0.2924;0.1359;0.1054
151;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0956;0.0856;0.1185;0.2483;0.1318;0.0949;0.0436;0.0337;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1213;0.1087;0.1506;0.3156;0.1676;0.1207;0.0555;0.0429;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1378;0.1236;0.1715;0.3597;0.1911;0.1377;0.0634;0.0489;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1537;0.138;0.1915;0.402;0.2137;0.154;0.0709;0.0548;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1585;0.1424;0.1978;0.4153;0.2207;0.1591;0.0733;0.0566;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1738;0.1562;0.2172;0.4563;0.2427;0.175;0.0806;0.0624;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1861;0.1679;0.2345;0.494;0.2632;0.1901;0.0878;0.068;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2033;0.1831;0.2552;0.5369;0.2858;0.2063;0.0952;0.0737;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2225;0.2007;0.2801;0.5898;0.3141;0.2268;0.1048;0.0811;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2374;0.2142;0.2991;0.63;0.3357;0.2424;0.112;0.0868;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2843;0.2573;0.3606;0.7612;0.4062;0.2936;0.136;0.1055
152;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0945;0.086;0.1171;0.2518;0.1331;0.0953;0.0436;0.0337;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1198;0.1091;0.1488;0.3201;0.1693;0.1212;0.0555;0.0429;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1362;0.1241;0.1695;0.3648;0.1931;0.1383;0.0634;0.049;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1518;0.1385;0.1893;0.4077;0.2159;0.1546;0.0709;0.0548;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1567;0.143;0.1954;0.4211;0.223;0.1598;0.0733;0.0567;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1717;0.1569;0.2147;0.4628;0.2452;0.1757;0.0807;0.0624;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1839;0.1686;0.2317;0.501;0.2659;0.1908;0.0879;0.0681;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2009;0.1838;0.2522;0.5445;0.2888;0.2071;0.0952;0.0737;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2199;0.2015;0.2768;0.5981;0.3174;0.2277;0.1048;0.0812;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2345;0.215;0.2956;0.6389;0.3391;0.2434;0.1121;0.0868;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2809;0.2583;0.3563;0.772;0.4103;0.2948;0.1361;0.1055
153;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.093;0.0864;0.1157;0.2553;0.1345;0.0957;0.0436;0.0337;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.118;0.1096;0.147;0.3245;0.1711;0.1217;0.0556;0.0429;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1341;0.1247;0.1675;0.3699;0.1951;0.1388;0.0634;0.049;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1494;0.1392;0.187;0.4133;0.2181;0.1553;0.071;0.0548;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1542;0.1436;0.1931;0.427;0.2254;0.1604;0.0734;0.0567;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.169;0.1576;0.2121;0.4692;0.2478;0.1764;0.0807;0.0624;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.181;0.1694;0.229;0.5079;0.2687;0.1916;0.0879;0.0681;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1977;0.1847;0.2492;0.552;0.2918;0.208;0.0953;0.0737;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2164;0.2024;0.2735;0.6064;0.3207;0.2287;0.1049;0.0812;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2308;0.216;0.2921;0.6478;0.3427;0.2444;0.1121;0.0868;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2765;0.2595;0.3521;0.7827;0.4147;0.296;0.1361;0.1055
154;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0912;0.0868;0.1144;0.2587;0.136;0.0961;0.0437;0.0337;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1156;0.1102;0.1453;0.3289;0.1729;0.1222;0.0556;0.0429;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1314;0.1254;0.1655;0.3749;0.1972;0.1394;0.0635;0.049;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1465;0.1399;0.1848;0.4189;0.2205;0.1559;0.071;0.0549;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1511;0.1444;0.1909;0.4327;0.2278;0.1611;0.0734;0.0567;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1657;0.1584;0.2096;0.4755;0.2504;0.1772;0.0808;0.0624;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1774;0.1703;0.2263;0.5148;0.2716;0.1924;0.088;0.0681;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1938;0.1856;0.2463;0.5595;0.2949;0.2088;0.0953;0.0738;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2121;0.2034;0.2703;0.6146;0.3241;0.2296;0.1049;0.0812;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2263;0.2171;0.2887;0.6565;0.3464;0.2454;0.1122;0.0869;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.271;0.2609;0.348;0.7932;0.4191;0.2973;0.1362;0.1056
155;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.089;0.0873;0.113;0.2621;0.1375;0.0965;0.0437;0.0337;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1128;0.1108;0.1436;0.3332;0.1748;0.1228;0.0556;0.0429;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1282;0.126;0.1636;0.3798;0.1994;0.14;0.0635;0.049;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1429;0.1406;0.1827;0.4244;0.2229;0.1566;0.0711;0.0549;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1475;0.1452;0.1887;0.4384;0.2303;0.1618;0.0734;0.0567;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1617;0.1593;0.2072;0.4818;0.2532;0.178;0.0808;0.0625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1731;0.1712;0.2237;0.5216;0.2746;0.1933;0.088;0.0681;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1891;0.1867;0.2434;0.5669;0.2982;0.2098;0.0954;0.0738;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.207;0.2046;0.2671;0.6227;0.3277;0.2306;0.105;0.0813;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2208;0.2183;0.2853;0.6652;0.3502;0.2465;0.1123;0.0869;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2644;0.2623;0.344;0.8037;0.4237;0.2986;0.1363;0.1056
156;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0864;0.0878;0.1117;0.2655;0.139;0.0969;0.0437;0.0337;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1096;0.1114;0.142;0.3375;0.1768;0.1233;0.0556;0.0429;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1246;0.1268;0.1617;0.3847;0.2016;0.1407;0.0635;0.049;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1389;0.1414;0.1806;0.4299;0.2254;0.1573;0.0711;0.0549;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1433;0.146;0.1865;0.4441;0.2328;0.1626;0.0735;0.0568;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1571;0.1602;0.2048;0.488;0.256;0.1788;0.0809;0.0625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1682;0.1722;0.2211;0.5283;0.2776;0.1941;0.0881;0.0682;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1837;0.1877;0.2406;0.5741;0.3015;0.2107;0.0954;0.0738;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2011;0.2057;0.2641;0.6307;0.3313;0.2317;0.105;0.0813;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2145;0.2196;0.282;0.6737;0.3541;0.2476;0.1123;0.0869;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2569;0.2638;0.34;0.814;0.4284;0.2999;0.1363;0.1057
